City/Country,City,Name,Latitude,Longitude,Value,Type
"Zurich, Switzerland",Zurich,Switzerland,47.376943,8.541406,141.25,Cost of Living Index
"Geneva, Switzerland",Geneva,Switzerland,46.201756,6.146601,134.83,Cost of Living Index
"Basel, Switzerland",Basel,Switzerland,47.559599,7.588576,130.68,Cost of Living Index
"Bern, Switzerland",Bern,Switzerland,46.947974,7.447447,128.03,Cost of Living Index
"Lausanne, Switzerland",Lausanne,Switzerland,46.521827,6.632702,127.5,Cost of Living Index
"Reykjavik, Iceland",Reykjavik,Iceland,64.145981,-21.942237,123.78,Cost of Living Index
"Stavanger, Norway",Stavanger,Norway,58.96896,5.729465,118.61,Cost of Living Index
"Lugano, Switzerland",Lugano,Switzerland,46.00501,8.952028,118.24,Cost of Living Index
"Oslo, Norway",Oslo,Norway,59.91333,10.73897,117.23,Cost of Living Index
"Trondheim, Norway",Trondheim,Norway,63.430566,10.395193,114.22,Cost of Living Index
"Bergen, Norway",Bergen,Norway,60.391263,5.322054,112.31,Cost of Living Index
"Copenhagen, Denmark",Copenhagen,Denmark,55.686724,12.570072,97.62,Cost of Living Index
"Luxembourg, Luxembourg",Luxembourg,Luxembourg,49.815868,6.129675,95.37,Cost of Living Index
"Paris, France",Paris,France,48.856614,2.352222,92.87,Cost of Living Index
"Limerick, Ireland",Limerick,Ireland,52.661252,-8.630124,92.73,Cost of Living Index
"Arhus, Denmark",Arhus,Denmark,56.149628,10.213405,91.9,Cost of Living Index
"Aalborg, Denmark",Aalborg,Denmark,57.048221,9.919394,91.17,Cost of Living Index
"Stockholm, Sweden",Stockholm,Sweden,59.325117,18.071093,90.85,Cost of Living Index
"Montpellier, France",Montpellier,France,43.611242,3.876734,90.63,Cost of Living Index
"Dublin, Ireland",Dublin,Ireland,53.349764,-6.260273,89.92,Cost of Living Index
"Linz, Austria",Linz,Austria,48.30694,14.28583,89.33,Cost of Living Index
"Amsterdam, Netherlands",Amsterdam,Netherlands,52.37454,4.897976,89.14,Cost of Living Index
"Antwerp, Belgium",Antwerp,Belgium,51.22111,4.399708,88.2,Cost of Living Index
"Helsinki, Finland",Helsinki,Finland,60.169856,24.938379,87.77,Cost of Living Index
"Grenoble, France",Grenoble,France,45.18756,5.735782,87.73,Cost of Living Index
"Tampere, Finland",Tampere,Finland,61.498021,23.760312,87.2,Cost of Living Index
"Florence, Italy",Florence,Italy,43.769871,11.255576,86.9,Cost of Living Index
