Country,Name,Value,Type
Albania,Albania,39.33,Cost of Living Index
Austria,Austria,82.85333333,Cost of Living Index
WalloonRegion,Belgium,85.58,Cost of Living Index
BosniaandHerzegovina,Bosnia And Herzegovina,41.175,Cost of Living Index
Bulgaria,Bulgaria,41.6175,Cost of Living Index
Croatia,Croatia,56.1575,Cost of Living Index
Cyprus,Cyprus,63.24,Cost of Living Index
CzechRepublic,Czech Republic,48.725,Cost of Living Index
Denmark,Denmark,93.56333333,Cost of Living Index
Estonia,Estonia,58,Cost of Living Index
Finland,Finland,85.71666667,Cost of Living Index
France,France,84.155,Cost of Living Index
Germany,Germany,75.40333333,Cost of Living Index
Greece,Greece,62.32,Cost of Living Index
Hungary,Hungary,47.96,Cost of Living Index
Iceland,Iceland,123.78,Cost of Living Index
Ireland,Ireland,86.44,Cost of Living Index
Italy,Italy,79.91818182,Cost of Living Index
Latvia,Latvia,54.87,Cost of Living Index
Lithuania,Lithuania,52.97,Cost of Living Index
Luxembourg,Luxembourg,95.37,Cost of Living Index
Macedonia,Macedonia,38.51,Cost of Living Index
Malta,Malta,73.69,Cost of Living Index
Moldova,Moldova,34.06,Cost of Living Index
Montenegro,Montenegro,44.68,Cost of Living Index
Netherlands,Netherlands,82.30571429,Cost of Living Index
Norway,Norway,115.5925,Cost of Living Index
Poland,Poland,45.48363636,Cost of Living Index
Portugal,Portugal,55.108,Cost of Living Index
Romania,Romania,39.32666667,Cost of Living Index
Serbia,Serbia,40.07,Cost of Living Index
Slovakia,Slovakia,55.34666667,Cost of Living Index
Slovenia,Slovenia,65.47,Cost of Living Index
Spain,Spain,62.58181818,Cost of Living Index
Sweden,Sweden,82.822,Cost of Living Index
Switzerland,Switzerland,130.0883333,Cost of Living Index
Ukraine,Ukraine,26.772,Cost of Living Index
England,England,77.21636364,Cost of Living Index
NorthernIreland,Northern Ireland,68.77,Cost of Living Index
Wales,Wales,71.52,Cost of Living Index
Scotland,Scotland,78.89333333,Cost of Living Index
FlemishRegion,Belgium,85.58,Cost of Living Index
BrusselsCapitalRegion,Belgium,85.58,Cost of Living Index
Albania,Albania,9.96,Rent Index
Austria,Austria,29.80333333,Rent Index
WalloonRegion,Belgium,30.055,Rent Index
BosniaandHerzegovina,Bosnia And Herzegovina,8.95,Rent Index
Bulgaria,Bulgaria,9.1525,Rent Index
Croatia,Croatia,12.39,Rent Index
Cyprus,Cyprus,17.6,Rent Index
CzechRepublic,Czech Republic,17.015,Rent Index
Denmark,Denmark,37.43,Rent Index
Estonia,Estonia,16.05,Rent Index
Finland,Finland,31.65333333,Rent Index
France,France,29.19875,Rent Index
Germany,Germany,29.855,Rent Index
Greece,Greece,11.65,Rent Index
Hungary,Hungary,14.21,Rent Index
Iceland,Iceland,57.25,Rent Index
Ireland,Ireland,41.0975,Rent Index
Italy,Italy,27.17181818,Rent Index
Latvia,Latvia,15.23,Rent Index
Lithuania,Lithuania,13.96333333,Rent Index
Luxembourg,Luxembourg,61.59,Rent Index
Macedonia,Macedonia,9.26,Rent Index
Malta,Malta,31.385,Rent Index
Moldova,Moldova,9.35,Rent Index
Montenegro,Montenegro,11.1,Rent Index
Netherlands,Netherlands,38.39142857,Rent Index
Norway,Norway,42.95,Rent Index
Poland,Poland,16.29090909,Rent Index
Portugal,Portugal,18.994,Rent Index
Romania,Romania,10.09222222,Rent Index
Serbia,Serbia,8.493333333,Rent Index
Slovakia,Slovakia,19.94333333,Rent Index
Slovenia,Slovenia,20.62,Rent Index
Spain,Spain,23,Rent Index
Sweden,Sweden,31.958,Rent Index
Switzerland,Switzerland,56.05333333,Rent Index
Ukraine,Ukraine,9.136,Rent Index
England,England,34.975,Rent Index
NorthernIreland,Northern Ireland,23.7,Rent Index
Wales,Wales,28.32,Rent Index
Scotland,Scotland,31.61666667,Rent Index
FlemishRegion,Belgium,30.055,Rent Index
BrusselsCapitalRegion,Belgium,30.055,Rent Index
Albania,Albania,25.17,Cost of Living Plus Rent Index
Austria,Austria,57.26666667,Cost of Living Plus Rent Index
WalloonRegion,Belgium,58.7975,Cost of Living Plus Rent Index
BosniaandHerzegovina,Bosnia And Herzegovina,25.635,Cost of Living Plus Rent Index
Bulgaria,Bulgaria,25.9625,Cost of Living Plus Rent Index
Croatia,Croatia,35.0525,Cost of Living Plus Rent Index
Cyprus,Cyprus,41.23,Cost of Living Plus Rent Index
CzechRepublic,Czech Republic,33.43,Cost of Living Plus Rent Index
Denmark,Denmark,66.49,Cost of Living Plus Rent Index
Estonia,Estonia,37.765,Cost of Living Plus Rent Index
Finland,Finland,59.64333333,Cost of Living Plus Rent Index
France,France,57.65125,Cost of Living Plus Rent Index
Germany,Germany,53.43611111,Cost of Living Plus Rent Index
Greece,Greece,37.88333333,Cost of Living Plus Rent Index
Hungary,Hungary,31.68,Cost of Living Plus Rent Index
Iceland,Iceland,91.7,Cost of Living Plus Rent Index
Ireland,Ireland,64.5725,Cost of Living Plus Rent Index
Italy,Italy,54.48090909,Cost of Living Plus Rent Index
